epoch,accuracy,loss,topkaccuracy,val_accuracy,val_loss,val_topkaccuracy
0,0.4677158296108246,1.0645643472671509,1.0,0.4416154623031616,4.2292046546936035,1.0
1,0.5247830748558044,0.9914258122444153,1.0,0.40474098920822144,17.384506225585938,1.0
2,0.5684659481048584,0.955586314201355,1.0,0.4416154623031616,114.79853057861328,1.0
3,0.5933225750923157,0.9234843254089355,1.0,0.42098331451416016,103.30912017822266,1.0
4,0.6061185598373413,0.8948726058006287,1.0,0.4051799774169922,117.51543426513672,1.0
5,0.6220032572746277,0.8861253261566162,1.0,0.23002633452415466,457.0531311035156,1.0
6,0.6222974061965942,0.8875467777252197,1.0,0.38410887122154236,234.10182189941406,1.0
7,0.6375937461853027,0.857483446598053,1.0,0.22607550024986267,370.4588928222656,1.0
8,0.6543609499931335,0.8397995829582214,1.0,0.22607550024986267,641.1073608398438,1.0
9,0.6570084095001221,0.8328505158424377,1.0,0.25329235196113586,420.2547607421875,1.0
